设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
H77F·I09·N056·190614_210307丢失,039266281,2020-06-30 10:02:30,东经,118.2517300,北纬,39.1735800,0,243,35,36.84,3.9,1163,4,3.8,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-30 02:01:52,东经,118.2508000,北纬,39.1747000,0,44,7,30.96,3.939,2140,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 18:02:42,东经,118.2503500,北纬,39.1746000,2.7,278,4,33.5,4.071,2800,4,4.3,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 16:01:36,东经,118.2508000,北纬,39.1748300,0,162,43,34.62,3.99,3821,4,2.6,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 14:01:12,东经,118.2500200,北纬,39.1755700,1.5,137,104,32.25,4.028,1346,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 08:01:52,东经,118.2507700,北纬,39.1747200,0,132,10,28.75,4.02,617,4,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 06:02:52,东经,118.2500500,北纬,39.1743700,0,0,27,34.66,4.05,0,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-29 04:02:42,东经,118.2506900,北纬,39.1745800,0,210,16,32.37,4.074,1582,4,3.3,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 22:00:42,东经,118.2506300,北纬,39.1744100,0,304,9,30.72,4.188,536,4,1.7,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 20:01:42,东经,118.2507700,北纬,39.1745900,0,54,32,33.75,4.188,2463,5,1.5,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 18:03:52,东经,118.2504200,北纬,39.1741900,0,0,19,39.75,4.137,0,5,3.7,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 14:01:30,东经,118.2498100,北纬,39.1741600,0,330,5,41.62,4.2,2942,4,3.8,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 12:02:42,东经,118.2516900,北纬,39.1743400,4.4,321,100,42.12,4.182,3206,4,4.3,0.9,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-28 02:01:27,东经,118.2438200,北纬,39.1797100,0,227,44,32.11,4.101,3469,3,2.3,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 20:02:12,东经,118.2505300,北纬,39.1744500,0,60,4,33.75,4.182,2805,6,1.3,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 14:02:20,东经,118.2461600,北纬,39.1793100,3.6,113,1566,40.02,4.194,1520,6,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 10:01:08,东经,118.2504000,北纬,39.1744800,0,201,15,34.25,4.101,764,6,1.8,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 08:02:12,东经,118.2506600,北纬,39.1745400,0,16,22,31,4.044,3898,7,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 04:01:10,东经,118.2497600,北纬,39.1759000,0,131,2926,29.02,4.101,1566,5,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 02:01:11,东经,118.2505300,北纬,39.1733100,0,206,5,30.97,4.116,2925,4,1.9,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-27 00:01:31,东经,118.2506500,北纬,39.1727900,0,240,40,31.25,4.134,3404,6,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 18:03:06,东经,118.2502900,北纬,39.1741200,0,41,20,36.75,4.17,1953,6,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 14:02:32,东经,118.2512700,北纬,39.1753200,0,318,9,41.5,4.188,3827,6,1.2,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 10:02:21,东经,118.2507600,北纬,39.1748000,0,281,29,38.12,4.119,0,8,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 08:00:47,东经,118.2506700,北纬,39.1750900,0,271,85,31.5,4.071,2992,5,1.6,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 06:02:51,东经,118.2496300,北纬,39.1744400,3.5,46,29,29.87,4.074,65,5,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 04:02:36,东经,118.3072600,北纬,39.1656100,0,78,6,32.17,4.107,1507,4,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 02:02:03,东经,118.2459900,北纬,39.1809400,3,355,2,29.62,4.134,3121,5,1.5,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-26 00:01:51,东经,118.2506000,北纬,39.1742700,0,115,34,30.72,4.161,3162,7,1.8,0.8,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 22:00:42,东经,118.2505500,北纬,39.1744600,0,344,1,30,4.188,427,7,1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 20:00:42,东经,118.2508000,北纬,39.1746700,0,0,15,32.02,4.209,531,8,0.9,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 16:01:08,东经,118.2505100,北纬,39.1747800,2,25,20,43.26,4.206,1031,4,2.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 14:01:08,东经,118.2506600,北纬,39.1751200,1.8,283,43,34.83,4.2,1849,4,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 12:00:49,东经,118.2500100,北纬,39.1743300,1.7,201,58,27.83,4.161,2291,5,1.5,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 10:01:42,东经,118.2513100,北纬,39.1713600,0,127,11,29.75,4.11,530,7,1.1,0.8,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 08:02:52,东经,118.2513000,北纬,39.1694500,0,140,8,28.73,4.098,1300,5,2.9,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 06:00:36,东经,118.2529100,北纬,39.1709600,0,65,141,31.37,4.155,2326,4,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 04:00:37,东经,118.2625000,北纬,39.1574900,0,206,15,32.75,4.161,2062,5,1.3,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 02:00:33,东经,118.2519500,北纬,39.1754300,3,215,24,30,4.164,2543,4,3.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-25 00:02:07,东经,118.2517900,北纬,39.1747100,2.7,101,24,31.48,4.176,3570,3,5.9,1,C,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-24 22:00:53,东经,118.2520200,北纬,39.1708500,0,0,6,31.37,4.2,529,3,1.9,1,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-24 20:01:08,东经,118.2520500,北纬,39.1714000,2.2,336,69,33.2,4.191,1457,6,1.1,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-24 18:02:06,东经,118.2523300,北纬,39.1703800,0,236,23,37.12,4.194,3438,4,2.1,0.9,B,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-24 10:02:37,东经,118.2552400,北纬,39.1697500,0,315,27,32.45,3.93,1013,5,1.4,0.9,A,可用
H77F·I09·N056·190614_210307丢失,039266281,2020-06-24 00:01:24,东经,118.2551300,北纬,39.1697400,0,90,59,26.98,4.071,2190,3,1.3,1,A,可用
