设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性,,纬度,经度,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/29 13:29,东经,117.03374,北纬,30.39151,1.9,254,29,38.28,3.579,324,4,4.5,0.9,C,可用,,30.39151,117.03374,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/28 20:01,东经,117.04387,北纬,30.38357,0,329,43,29.29,3.595,0,5,3.4,0.9,B,可用,,30.38357,117.04387,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/17 2:01,东经,117.01963,北纬,30.36745,0,6,5,28.71,3.634,854,4,1.6,0.8,A,可用,,30.36745,117.01963,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/17 0:00,东经,117.02991,北纬,30.37394,0,19,3,28.04,3.656,729,6,2,0.9,B,可用,,30.37394,117.02991,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/16 22:01,东经,117.01862,北纬,30.36802,1.6,18,32,29.67,3.665,866,4,3.1,0.9,B,可用,,30.36802,117.01862,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/16 20:01,东经,117.03658,北纬,30.37034,1.6,9,48,26.37,3.7,898,5,1.9,0.9,B,可用,,30.37034,117.03658,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/16 18:01,东经,117.03529,北纬,30.38014,0,32,7,27.17,3.73,925,5,1.2,0.9,A,可用,,30.38014,117.03529,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/16 16:00,东经,117.03331,北纬,30.37809,0,303,29,25.85,3.68,362,4,1.3,0.9,A,可用,,30.37809,117.03331,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/16 15:22,东经,117.03727,北纬,30.38033,1.8,93,27,24.46,3.685,666,6,1.4,0.9,A,可用,,30.38033,117.03727,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/14 14:19,东经,117.04052,北纬,30.38889,0,326,10,37.09,3.599,815,4,3.7,0.9,C,可用,,30.38889,117.04052,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/11 16:01,东经,117.06517,北纬,30.38177,0,76,23,36.71,3.541,0,4,1.8,0.9,B,可用,,30.38177,117.06517,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/11 14:00,东经,117.06563,北纬,30.38145,0,278,28,36.62,3.647,0,5,1.7,0.9,B,可用,,30.38145,117.06563,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/11 13:39,东经,117.0657,北纬,30.38138,0,171,15,21.2,3.692,0,5,1.7,0.9,B,可用,,30.38138,117.0657,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/11 0:00,东经,117.06534,北纬,30.38138,0,338,5,30.91,3.51,2443,5,1.3,0.9,A,可用,,30.38138,117.06534,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/10 22:00,东经,117.08022,北纬,30.37375,0,152,13,30.31,3.55,654,5,1.3,0.9,A,可用,,30.37375,117.08022,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/10 20:00,东经,117.21429,北纬,30.41244,3.2,150,48,30.6,3.61,1029,5,1.6,0.9,A,可用,,30.41244,117.21429,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/10 18:00,东经,117.20847,北纬,30.41152,1.5,181,31,32.32,3.661,936,8,0.9,0.8,A,可用,,30.41152,117.20847,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/9 18:00,东经,116.73708,北纬,29.2535,0,4,19,26.63,3.668,1811,5,2.8,0.8,B,可用,,29.2535,116.73708,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/9 16:01,东经,116.73543,北纬,29.25101,0,28,17,32.66,3.664,1045,4,1.9,0.9,B,可用,,29.25101,116.73543,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/9 14:00,东经,116.73731,北纬,29.25882,0,27,3,35.43,3.662,16,4,2.4,0.9,B,可用,,29.25882,116.73731,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/9 13:29,东经,116.7372,北纬,29.25882,0,26,16,30.4,3.68,234,5,2,0.9,B,可用,,29.25882,116.7372,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/8 20:00,东经,116.73543,北纬,29.27818,0,27,12,30.67,3.566,798,7,1,0.9,A,可用,,29.27818,116.73543,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/8 18:01,东经,116.71228,北纬,29.25252,0,9,33,29.82,3.632,768,7,1,0.9,A,可用,,29.25252,116.71228,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/8 16:00,东经,116.7123,北纬,29.25234,0,31,4,27.19,3.639,817,7,1.1,2.6,A,可用,,29.25234,116.7123,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/8 14:25,东经,116.71252,北纬,29.25189,0,12,31,36.74,3.651,42,6,1.1,0.8,A,可用,,29.25189,116.71252,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/4 20:01,东经,117.10641,北纬,30.40575,0,16,9,30.2,3.617,0,5,1.4,0.8,A,可用,,30.40575,117.10641,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/4 18:01,东经,117.10757,北纬,30.40518,0,27,20,35.6,3.662,0,6,1.4,0.9,A,可用,,30.40518,117.10757,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/4 16:00,东经,117.13314,北纬,30.4073,0,28,23,34.61,3.661,0,4,1.5,0.9,A,可用,,30.4073,117.13314,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/4 14:37,东经,117.13303,北纬,30.40715,0,2,5,31.39,3.628,7,5,1.5,0.9,A,可用,,30.40715,117.13303,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/3 18:00,东经,117.09607,北纬,30.37468,0,282,23,31.52,3.517,537,7,1.1,0.9,A,可用,,30.37468,117.09607,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/3 16:00,东经,117.08461,北纬,30.37242,0,317,41,29.01,3.515,632,5,1.5,0.9,A,可用,,30.37242,117.08461,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/3 14:00,东经,117.10831,北纬,30.4053,0,95,24,29.86,3.528,0,9,1,0.8,A,可用,,30.4053,117.10831,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/2 20:01,东经,117.0765,北纬,30.38343,0,260,8,23.82,3.644,0,4,1.9,0.8,B,可用,,30.38343,117.0765,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/2 18:01,东经,117.10959,北纬,30.40511,0,273,0,28.35,3.669,0,9,0.7,0.9,A,可用,,30.40511,117.10959,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/2 16:00,东经,117.13316,北纬,30.40737,1.6,3,13,33.77,3.625,0,4,2.5,0.9,B,可用,,30.40737,117.13316,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/2 15:22,东经,117.13321,北纬,30.40717,2.8,20,38,36.66,3.665,0,6,1.3,0.9,A,可用,,30.40717,117.13321,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/1 20:00,东经,117.19256,北纬,30.4034,0,34,27,28.79,3.577,1626,5,2.1,2.3,B,可用,,30.4034,117.19256,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/1 18:00,东经,117.20669,北纬,30.40436,0,32,34,30.25,3.622,765,6,1.2,0.9,A,可用,,30.40436,117.20669,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/1 16:00,东经,117.20604,北纬,30.41507,0,9,2,28.88,3.631,1160,6,1.3,0.9,A,可用,,30.41507,117.20604,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/1 14:00,东经,117.20583,北纬,30.41435,0,283,32,32.96,3.611,828,5,1.9,0.9,B,可用,,30.41435,117.20583,gps
H52M·G40·N040·190528_210727丢失,32011114,2021/1/1 12:00,东经,117.20947,北纬,30.42918,0,30,96,20.88,3.605,291,5,1.2,0.9,A,可用,,30.42918,117.20947,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/21 20:00,东经,116.12239,北纬,29.61031,0,81,30,30.38,3.503,0,6,1,0.8,A,可用,,29.61031,116.12239,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/21 18:00,东经,116.12212,北纬,29.6104,0,79,27,31.24,3.545,0,6,2.4,2.9,B,可用,,29.6104,116.12212,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/21 16:01,东经,116.12241,北纬,29.61026,0,244,9,31.81,3.583,0,6,1.2,0.9,A,可用,,29.61026,116.12241,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/17 20:01,东经,116.15881,北纬,29.65512,0,104,32,30.64,3.566,0,4,2,0.9,B,可用,,29.65512,116.15881,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/17 18:00,东经,116.15907,北纬,29.65551,0,148,17,32.87,3.618,0,4,3,0.9,B,可用,,29.65551,116.15907,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/17 16:55,东经,116.15919,北纬,29.65553,0,305,2,34.99,3.657,0,7,1.3,0.9,A,可用,,29.65553,116.15919,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/16 18:02,东经,116.20046,北纬,29.62985,0,243,16,28.56,3.637,507,9,0.9,0.9,A,可用,,29.62985,116.20046,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/10 14:02,东经,116.67527,北纬,29.94725,2.1,143,3,37.01,3.599,0,6,1.1,0.9,A,可用,,29.94725,116.67527,gps
H54M·G65巢·BJNN022·20190528不稳,32201756,2021/1/9 14:02,东经,116.67512,北纬,29.94708,0,102,33,36.64,3.6,1065,5,2,0.9,B,可用,,29.94708,116.67512,gps
