E,N,Season,ID,Resource,,,Row Labels,Count of Resource
12557894.98,3279347.004,wintering,1,GPS,,,CBRC,50
12557695.72,3350309.065,wintering,2,GPS,,,GBIF,116
12558493.88,3403180.855,wintering,3,GPS,,,GPS,890
12558728.77,3437811.981,wintering,4,GPS,,,(blank),
12558243.41,3440069.35,wintering,5,CBRC,,,Grand Total,1056
12561013.04,3406790.882,wintering,6,GPS,,,,
12562088.39,3407731.184,wintering,7,GPS,,,,
12567066.6,3352167.695,wintering,8,GPS,,,,
12565783.08,3411440.741,wintering,9,GPS,,,,
12567641,3351580.731,wintering,10,GPS,,,,
12574332.42,3421726.342,wintering,11,GPS,,,,
12576671.24,3370312.912,wintering,12,GPS,,,,
12577224.5,3377546.427,wintering,13,GPS,,,,
12579532.15,3370974.504,wintering,14,GPS,,,,
12578317.66,3432036.699,wintering,15,CBRC,,,,
12581514.75,3381977.073,wintering,16,GPS,,,,
12581690.64,3382594.682,wintering,17,GPS,,,,
12581865.41,3387570.99,wintering,18,GPS,,,,
12581928.86,3426665.706,wintering,19,GBIF,,,,
12583216.83,2527662.496,wintering,20,GBIF,,,,
12584712.96,3382909.227,wintering,21,GPS,,,,
12585383.11,3385889.507,wintering,22,GPS,,,,
12594393.3,2514314.502,wintering,23,GPS,,,,
12594230.78,2515217.54,wintering,24,GPS,,,,
12594630.42,2574671.988,wintering,25,CBRC,,,,
12596901.33,2517953.365,wintering,26,GPS,,,,
12607582.44,3541411.24,wintering,27,CBRC,,,,
12612596.27,3571610.526,wintering,28,GPS,,,,
12614289.44,3572962.384,wintering,29,GPS,,,,
12615330.27,3570576.698,wintering,30,GPS,,,,
12620086.96,3482558.408,wintering,31,CBRC,,,,
12623327.47,3580565.748,wintering,32,GPS,,,,
12632109.46,2571165.425,wintering,33,CBRC,,,,
12630843.76,2588446.317,wintering,34,GPS,,,,
12630111.28,2641921.347,wintering,35,GBIF,,,,
12636546.66,2587550.186,wintering,36,GPS,,,,
12639915.18,2566467.908,wintering,37,GBIF,,,,
12639093.65,2572907.769,wintering,38,GPS,,,,
12639210.53,3489229.446,wintering,39,GPS,,,,
12638442.43,3539343.461,wintering,40,GPS,,,,
12638142.98,3542367.895,wintering,41,GPS,,,,
12639045.78,3543839.12,wintering,42,GPS,,,,
12641700.19,2570519.985,wintering,43,GBIF,,,,
12642148.25,3459364.494,wintering,44,GPS,,,,
12640413.9,3463729.55,wintering,45,CBRC,,,,
12641983.5,3471717.833,wintering,46,GPS,,,,
12641070.68,3489293.645,wintering,47,GPS,,,,
12640182.35,3536282.375,wintering,48,GPS,,,,
12640408.33,3541658.777,wintering,49,GPS,,,,
12642807.26,3469947.216,wintering,50,GPS,,,,
12642649.19,3470620.304,wintering,51,GPS,,,,
12644923.45,3538134.405,wintering,52,GPS,,,,
12645775.04,2562053.015,wintering,53,GPS,,,,
12646248.15,2586862.742,wintering,54,GPS,,,,
12646898.26,2589704.359,wintering,55,GPS,,,,
12645024.75,3469730.553,wintering,56,GPS,,,,
12646845.94,3470283.115,wintering,57,GPS,,,,
12645777.27,3537524.765,wintering,58,GPS,,,,
12645116.03,3540702.175,wintering,59,GPS,,,,
12649583.28,2583089.548,wintering,60,GBIF,,,,
12650165.48,3535125.156,wintering,61,GPS,,,,
12653207.84,2585414.381,wintering,62,GPS,,,,
12652790.4,3548327.351,wintering,63,GPS,,,,
12654835.34,3589994.586,wintering,64,GPS,,,,
12653707.67,3590488.993,wintering,65,GPS,,,,
12656507.35,3589945.405,wintering,66,GPS,,,,
12655593.42,3590829.396,wintering,67,GPS,,,,
12664339.79,2598600.229,wintering,68,GPS,,,,
12665793.63,3521092.294,wintering,69,GPS,,,,
12668181.43,3525620.111,wintering,70,CBRC,,,,
12671831.6,3546405.471,wintering,71,GPS,,,,
12672825.68,3541755.473,wintering,72,GPS,,,,
12673530.33,3543164.605,wintering,73,GBIF,,,,
12675559.69,3542654.133,wintering,74,CBRC,,,,
12676454.69,3552143.601,wintering,75,GPS,,,,
12681777.99,3550076.645,wintering,76,GPS,,,,
12681643.3,3554743.906,wintering,77,GPS,,,,
12682332.36,3555084.631,wintering,78,GPS,,,,
12681761.29,3605821.466,wintering,79,GPS,,,,
12684484.17,3549617.367,wintering,80,GPS,,,,
12684717.94,3601860.596,wintering,81,GPS,,,,
12687281.63,3609240.461,wintering,82,GPS,,,,
12687915.59,2574020.145,wintering,83,GBIF,,,,
12689587.94,2575020.756,wintering,84,GBIF,,,,
12690730.31,2570448.539,wintering,85,GPS,,,,
12690850.53,2575044.378,wintering,86,CBRC,,,,
12691989.33,3495264.23,wintering,87,GPS,,,,
12692268.74,3500927.883,wintering,88,GPS,,,,
