Lon,Lat,时间,source,
118.35661,39.05608,2021/6/30 20:00,GPS,
118.35677,39.0568,2021/6/30 18:00,GPS,
118.35522,39.05517,2021/6/30 16:00,GPS,
118.35458,39.05763,2021/6/30 14:00,GPS,
118.35552,39.05734,2021/6/30 12:00,GPS,
118.35627,39.05676,2021/6/30 10:01,GPS,
118.35601,39.05619,2021/6/30 8:00,GPS,
118.35517,39.05688,2021/6/30 6:02,GPS,
118.35527,39.05791,2021/6/30 4:01,GPS,
118.35558,39.05769,2021/6/30 2:01,GPS,
118.35516,39.05781,2021/6/30 0:01,GPS,
118.35655,39.05663,2021/6/29 22:01,GPS,
118.35594,39.05608,2021/6/29 18:00,GPS,
118.35548,39.05768,2021/6/29 16:01,GPS,
118.35547,39.05682,2021/6/29 14:02,GPS,
118.35558,39.05772,2021/6/29 12:01,GPS,
118.35629,39.05621,2021/6/29 10:01,GPS,
118.35632,39.05671,2021/6/29 8:02,GPS,
118.35561,39.05751,2021/6/29 4:01,GPS,
118.3352,39.05352,2021/6/29 2:01,GPS,
118.33532,39.05357,2021/6/29 0:01,GPS,
118.35529,39.05758,2021/6/28 22:01,GPS,
118.35513,39.05662,2021/6/28 20:01,GPS,
118.3565,39.05661,2021/6/28 18:02,GPS,
118.35548,39.0576,2021/6/28 16:01,GPS,
118.35567,39.0577,2021/6/28 12:01,GPS,
118.35524,39.05672,2021/6/28 8:02,GPS,
118.35531,39.05774,2021/6/28 4:00,GPS,
118.33469,39.05342,2021/6/28 0:03,GPS,
118.35538,39.05738,2021/6/27 22:01,GPS,
118.35574,39.05759,2021/6/27 20:00,GPS,
118.35519,39.05728,2021/6/27 18:02,GPS,
118.3546,39.05829,2021/6/27 14:01,GPS,
118.35638,39.05675,2021/6/27 8:01,GPS,
118.35556,39.05775,2021/6/27 6:01,GPS,
118.34612,39.0517,2021/6/27 0:02,GPS,
118.3551,39.05645,2021/6/26 18:01,GPS,
118.35704,39.0569,2021/6/26 16:00,GPS,
118.35637,39.05688,2021/6/26 14:03,GPS,
118.35655,39.05653,2021/6/26 10:01,GPS,
118.35639,39.05676,2021/6/26 8:01,GPS,
118.35664,39.05662,2021/6/26 6:02,GPS,
118.35547,39.05775,2021/6/26 2:00,GPS,
118.34701,39.05227,2021/6/25 22:00,GPS,
118.3559,39.05836,2021/6/25 20:02,GPS,
118.3558,39.05836,2021/6/25 18:01,GPS,
118.35629,39.05683,2021/6/25 16:02,GPS,
118.3569,39.05614,2021/6/25 14:03,GPS,
118.35652,39.05665,2021/6/25 12:00,GPS,
118.356,39.05624,2021/6/25 10:00,GPS,
118.34676,39.05209,2021/6/25 8:02,GPS,
118.356,39.0565,2021/6/25 6:01,GPS,
118.33927,39.05434,2021/6/25 4:00,GPS,
118.35533,39.05785,2021/6/25 2:03,GPS,
118.35532,39.0583,2021/6/24 20:01,GPS,
118.35591,39.05677,2021/6/24 16:02,GPS,
118.35575,39.05658,2021/6/24 14:02,GPS,
118.35581,39.05776,2021/6/24 8:01,GPS,
118.35505,39.05708,2021/6/24 6:02,GPS,
118.35514,39.05688,2021/6/24 4:01,GPS,
118.35548,39.05785,2021/6/24 2:01,GPS,
118.34698,39.05396,2021/6/24 0:02,GPS,
118.35586,39.0584,2021/6/23 20:00,GPS,
118.35546,39.05841,2021/6/23 18:02,GPS,
118.35537,39.05858,2021/6/23 16:02,GPS,
118.35628,39.05635,2021/6/23 12:01,GPS,
118.35495,39.05707,2021/6/23 10:01,GPS,
118.35525,39.05703,2021/6/23 8:00,GPS,
118.355,39.05682,2021/6/23 6:00,GPS,
118.34655,39.05215,2021/6/23 4:02,GPS,
118.35519,39.05732,2021/6/23 2:00,GPS,
118.35518,39.05912,2021/6/22 22:00,GPS,
118.35511,39.05772,2021/6/22 20:00,GPS,
118.35635,39.05801,2021/6/22 18:00,GPS,
118.35529,39.05721,2021/6/22 16:00,GPS,
118.3558,39.05663,2021/6/22 14:00,GPS,
118.35468,39.05754,2021/6/22 12:01,GPS,
118.35535,39.05715,2021/6/22 10:00,GPS,
118.35519,39.057,2021/6/22 8:00,GPS,
118.35503,39.05656,2021/6/22 6:00,GPS,
118.34702,39.05207,2021/6/22 4:00,GPS,
118.34617,39.05191,2021/6/22 2:00,GPS,
118.35557,39.05728,2021/6/22 0:00,GPS,
118.3555,39.05704,2021/6/21 22:00,GPS,
118.35519,39.05735,2021/6/21 20:00,GPS,
118.35515,39.05746,2021/6/21 18:00,GPS,
118.355,39.05703,2021/6/21 16:03,GPS,
118.35479,39.0558,2021/6/21 14:00,GPS,
118.35538,39.0578,2021/6/21 12:00,GPS,
118.37253,39.02987,2021/6/21 10:01,GPS,
118.35573,39.0578,2021/6/21 8:00,GPS,
118.37469,39.0536,2021/6/21 6:00,GPS,
118.35565,39.05724,2021/6/21 4:00,GPS,
118.35541,39.0577,2021/6/21 2:01,GPS,
118.35533,39.05776,2021/6/20 22:01,GPS,
118.35461,39.05722,2021/6/20 20:02,GPS,
118.35571,39.05751,2021/6/20 10:01,GPS,
118.35551,39.05745,2021/6/20 8:02,GPS,
118.3557,39.0573,2021/6/20 6:01,GPS,
118.35558,39.05679,2021/6/20 4:02,GPS,
118.35565,39.05704,2021/6/20 2:02,GPS,
118.35598,39.05605,2021/6/19 6:02,GPS,
118.35543,39.05776,2021/6/19 4:01,GPS,
118.35557,39.05769,2021/6/19 2:01,GPS,
118.35567,39.05735,2021/6/19 0:01,GPS,
118.33855,39.05153,2021/6/18 22:02,GPS,
118.3554,39.05675,2021/6/18 16:01,GPS,
118.35567,39.05678,2021/6/18 8:02,GPS,
118.35545,39.05767,2021/6/18 4:01,GPS,
118.35534,39.05748,2021/6/18 2:01,GPS,
118.34184,39.0539,2021/6/17 22:00,GPS,
118.35564,39.05634,2021/6/17 20:03,GPS,
118.35709,39.05531,2021/6/17 18:01,GPS,
118.3569,39.05529,2021/6/17 16:01,GPS,
118.35596,39.05593,2021/6/17 10:01,GPS,
118.35471,39.05901,2021/6/17 8:01,GPS,
118.35474,39.0589,2021/6/17 6:00,GPS,
118.35458,39.05886,2021/6/17 4:00,GPS,
118.35467,39.05877,2021/6/17 2:00,GPS,
118.35454,39.0589,2021/6/17 0:01,GPS,
118.35449,39.05857,2021/6/16 22:01,GPS,
118.36777,39.05096,2021/6/16 4:00,GPS,
118.36815,39.05094,2021/6/16 2:01,GPS,
118.36873,39.0505,2021/6/16 0:00,GPS,
118.36957,39.05024,2021/6/15 22:01,GPS,
118.37318,39.04814,2021/6/15 8:03,GPS,
118.37055,39.05076,2021/6/15 4:00,GPS,
118.3708,39.05062,2021/6/15 2:01,GPS,
118.37362,39.04822,2021/6/14 16:02,GPS,
118.37296,39.04839,2021/6/14 12:02,GPS,
118.37326,39.04821,2021/6/14 8:03,GPS,
118.37064,39.05048,2021/6/14 4:02,GPS,
118.37078,39.05061,2021/6/14 2:00,GPS,
118.37077,39.05047,2021/6/14 0:01,GPS,
118.3709,39.05053,2021/6/13 22:01,GPS,
118.37347,39.04842,2021/6/13 16:02,GPS,
118.37238,39.04903,2021/6/13 10:02,GPS,
118.37309,39.04815,2021/6/13 6:02,GPS,
118.37078,39.05074,2021/6/13 4:01,GPS,
118.37076,39.05071,2021/6/13 2:01,GPS,
118.37133,39.05071,2021/6/13 0:00,GPS,
118.37341,39.04868,2021/6/12 22:02,GPS,
118.37306,39.04828,2021/6/12 18:00,GPS,
118.37354,39.04855,2021/6/12 16:01,GPS,
118.37387,39.04863,2021/6/12 14:03,GPS,
118.37096,39.05076,2021/6/12 4:01,GPS,
118.37075,39.05059,2021/6/12 2:02,GPS,
118.37076,39.05056,2021/6/12 0:01,GPS,
118.37368,39.04855,2021/6/11 18:01,GPS,
118.37341,39.04857,2021/6/11 16:03,GPS,
118.37348,39.04794,2021/6/11 8:01,GPS,
118.37082,39.05072,2021/6/11 6:00,GPS,
118.3708,39.05067,2021/6/11 4:00,GPS,
118.37096,39.05044,2021/6/11 2:00,GPS,
118.37083,39.05068,2021/6/11 0:00,GPS,
118.37077,39.05066,2021/6/10 22:00,GPS,
118.37357,39.04868,2021/6/10 16:01,GPS,
118.37283,39.04816,2021/6/10 14:03,GPS,
118.37071,39.0507,2021/6/10 6:00,GPS,
118.37066,39.05075,2021/6/10 4:00,GPS,
118.37091,39.05075,2021/6/10 2:01,GPS,
118.37082,39.05069,2021/6/10 0:00,GPS,
118.37066,39.05077,2021/6/9 22:00,GPS,
118.37332,39.04849,2021/6/9 20:02,GPS,
118.37364,39.04861,2021/6/9 16:03,GPS,
118.37347,39.049,2021/6/9 14:03,GPS,
118.37325,39.04901,2021/6/9 12:00,GPS,
