Lon,Lat,时间,source,...5,X,Y
118.35661,39.05608,2021/6/30 20:00,GPS,NA,13175397.5572181,4729707.73783431
118.35677,39.0568,2021/6/30 18:00,GPS,NA,13175415.3683366,4729810.95404095
118.35522,39.05517,2021/6/30 16:00,GPS,NA,13175242.8231259,4729577.28552324
118.35458,39.05763,2021/6/30 14:00,GPS,NA,13175171.5786518,4729929.94069622
118.35552,39.05734,2021/6/30 12:00,GPS,NA,13175276.2189731,4729888.36688661
118.35627,39.05676,2021/6/30 10:01,GPS,NA,13175359.7085912,4729805.21977964
118.35601,39.05619,2021/6/30 8:00,GPS,NA,13175330.7655236,4729723.50690888
118.35517,39.05688,2021/6/30 6:02,GPS,NA,13175237.2571513,4729822.42257332
118.35527,39.05791,2021/6/30 4:01,GPS,NA,13175248.3891004,4729970.0810882
118.35558,39.05769,2021/6/30 2:01,GPS,NA,13175282.8981426,4729938.54219539
118.35516,39.05781,2021/6/30 0:01,GPS,NA,13175236.1439564,4729955.74521565
118.35655,39.05663,2021/6/29 22:01,GPS,NA,13175390.8780486,4729786.58345281
118.35594,39.05608,2021/6/29 18:00,GPS,NA,13175322.9731592,4729707.73783431
118.35548,39.05768,2021/6/29 16:01,GPS,NA,13175271.7661935,4729937.10861168
118.35547,39.05682,2021/6/29 14:02,GPS,NA,13175270.6529986,4729813.82117283
118.35558,39.05772,2021/6/29 12:01,GPS,NA,13175282.8981426,4729942.84294771
118.35629,39.05621,2021/6/29 10:01,GPS,NA,13175361.934981,4729726.37401599
118.35632,39.05671,2021/6/29 8:02,GPS,NA,13175365.2745657,4729798.05195757
118.35561,39.05751,2021/6/29 4:01,GPS,NA,13175286.2377273,4729912.73771981
118.3352,39.05352,2021/6/29 2:01,GPS,NA,13173014.2069202,4729340.75540049
118.33532,39.05357,2021/6/29 0:01,GPS,NA,13173027.5652591,4729347.92289877
118.35529,39.05758,2021/6/28 22:01,GPS,NA,13175250.6154902,4729922.77278583
118.35513,39.05662,2021/6/28 20:01,GPS,NA,13175232.8043717,4729785.14989062
