"Lon","Lat","时间","source","...5","grid_id","X","Y"
118.35661,39.05608,"2021/6/30 20:00","GPS",NA,1169227,13175397.5572181,4729707.73783431
118.3352,39.05352,"2021/6/29 2:01","GPS",NA,1169226,13173014.2069202,4729340.75540049
118.37253,39.02987,"2021/6/21 10:01","GPS",NA,1164096,13177169.7635115,4725951.09737437
118.37469,39.0536,"2021/6/21 6:00","GPS",NA,1169228,13177410.2136116,4729352.22340018
118.36873,39.0505,"2021/6/16 0:00","GPS",NA,1166661,13176746.7494465,4728907.84791395
118.37318,39.04814,"2021/6/15 8:03","GPS",NA,1166662,13177242.1211805,4728569.56223309
118.39645,39.05496,"2021/5/29 8:01","GPS",NA,1169229,13179832.5257313,4729547.1813825
118.40568,39.03491,"2021/5/21 4:01","GPS",NA,1166663,13180860.0046313,4726673.36488549
118.4015,39.03278,"2021/5/19 2:00","GPS",NA,1164097,13180394.6891598,4726368.11459344
118.44291,39.06377,"2021/4/30 8:00","GPS",NA,1169231,13185004.4292735,4730810.19867857
118.43134,39.05276,"2021/4/28 22:01","GPS",NA,1169230,13183716.4627651,4729231.81005145
118.43903,39.0696,"2021/4/22 14:00","GPS",NA,1171797,13184572.5096493,4731646.08453232
118.43881,39.06981,"2021/4/22 12:01","GPS",NA,1171796,13184548.0193613,4731676.19491652
118.42376,39.03531,"2021/4/17 0:02","GPS",NA,1166664,13182872.6610248,4726730.68991014
118.35207,39.08733,"2021/4/16 20:00","GPS",NA,1174359,13174892.1667299,4734188.57687511
118.30529,39.22799,"2021/6/30 6:00","GPS",NA,1194885,13169684.6409506,4754381.99955421
118.30558,39.22148,"2021/6/29 0:00","GPS",NA,1192319,13169716.9236029,4753446.51938583
118.27419,39.18772,"2021/6/26 14:00","GPS",NA,1187185,13166222.6047869,4748596.63362184
118.25719,39.19336,"2021/6/26 2:00","GPS",NA,1189750,13164330.1734434,4749406.7011986
118.30048,39.20346,"2021/6/25 10:00","GPS",NA,1189752,13169149.1941998,4750857.51661954
118.26685,39.16821,"2021/6/24 18:00","GPS",NA,1184619,13165405.5197245,4745794.93301166
118.27948,39.19044,"2021/6/24 12:00","GPS",NA,1189751,13166811.4848932,4748987.29639358
118.25752,39.18875,"2021/6/22 2:00","GPS",NA,1187184,13164366.9088754,4748744.56664274
118.24577,39.11716,"2021/6/22 0:01","GPS",NA,1176920,13163058.9048585,4738467.65891511
118.35649,39.2049,"2021/6/21 16:00","GPS",NA,1189755,13175384.1988792,4751064.38254092
118.28845,39.12186,"2021/6/20 10:01","GPS",NA,1179488,13167810.0207256,4739142.03412936
118.29459,39.22066,"2021/6/14 14:00","GPS",NA,1192318,13168493.5223991,4753328.69239866
118.25195,39.15262,"2021/6/2 14:00","GPS",NA,1182052,13163746.8593116,4743556.71599186
118.30524,39.19531,"2021/5/16 16:00","GPS",NA,1189753,13169679.074976,4749686.79288027
118.26814,39.10754,"2021/4/29 12:00","GPS",NA,1176921,13165549.1218676,4737087.48223741
118.28403,39.16714,"2021/4/26 20:39","GPS",NA,1184620,13167317.9885763,4745641.29995297
118.28329,39.17619,"2021/4/24 18:03","GPS",NA,1187186,13167235.6121531,4746940.7934756
118.34479,39.22597,"2021/4/21 16:01","GPS",NA,1194886,13174081.7608369,4754091.71838954
118.35893,39.24432,"2021/4/21 11:53","GPS",NA,1197453,13175655.8184367,4756728.98533889
118.26255,39.15521,"2021/4/18 20:00","GPS",NA,1182053,13164926.8459141,4743928.52141329
118.33535,39.22407,"2021/4/16 16:00","GPS",NA,1192320,13173030.9048438,4753818.6892751
118.35723,39.24208,"2021/4/16 12:01","GPS",NA,1194887,13175466.5753024,4756407.01497152
118.43713,38.07981,"2021/4/5 20:00","GPS",NA,1025534,13184361.0026167,4590706.43221693
118.89535,38.03973,"2021/6/30 22:01","GPS",NA,1020423,13235369.819688,4585039.85069964
118.9122,38.04612,"2021/6/28 18:00","GPS",NA,1020424,13237245.5531079,4585943.07232188
118.92989,38.01181,"2021/6/28 8:00","GPS",NA,1015292,13239214.7949,4581094.30414389
118.92681,38.01457,"2021/6/27 20:00","GPS",NA,1017858,13238871.9308684,4581484.26972687
118.91275,38.05224,"2021/6/22 14:01","GPS",NA,1022990,13237306.7788278,4586808.20355913
118.90825,38.04963,"2021/6/18 14:00","GPS",NA,1022989,13236805.8411193,4586439.2416863
118.9394,37.97149,"2021/6/2 18:01","GPS",NA,1010161,13240273.4432575,4575399.08855541
118.95216,38.02516,"2021/5/22 20:06","GPS",NA,1017859,13241693.87996,4582980.68699733
118.92133,38.07151,"2021/5/10 10:00","GPS",NA,1025556,13238261.9000588,4589532.7086302
118.93392,38.06358,"2021/4/30 2:00","GPS",NA,1022991,13239663.4124479,4588411.4320644
118.90777,38.07192,"2021/4/12 14:00","GPS",NA,1025555,13236752.4077637,4589590.6846199
118.87807,38.02365,"2021/4/9 20:00","GPS",NA,1017856,13233446.2188871,4582767.30360993
118.84184,37.57063,"2021/6/30 22:00","GPS",NA,953704,13229413.1137357,4518946.5445715
118.84164,37.57052,"2021/6/30 20:00","GPS",NA,951138,13229390.8498375,4518931.09529143
118.84319,37.57927,"2021/4/25 8:00","GPS",NA,953705,13229563.3950483,4520160.08658831
118.84476,37.54103,"2021/4/23 22:00","GPS",NA,948573,13229738.1666488,4514790.10638312
118.84519,37.53471,"2021/4/23 12:00","GPS",NA,946007,13229786.0340298,4513902.86447546
118.84502,37.56912,"2021/4/19 22:00","GPS",NA,951139,13229767.1097164,4518734.47008367
118.8672,37.57436,"2021/4/12 12:00","GPS",NA,953706,13232236.1760222,4519470.42911973
119.18525,37.67595,"2021/4/9 22:01","GPS",NA,966550,13267641.340069,4533749.01574066
119.25347,37.66525,"2021/4/9 20:00","GPS",NA,966553,13275235.5557309,4532244.19887844
118.84689,37.44801,"2021/4/9 16:01","GPS",NA,935743,13229975.2771642,4501738.94603007
118.84162,37.48804,"2021/4/9 6:01","GPS",NA,940874,13229388.6234477,4507353.35828718
118.85584,37.5073,"2021/4/8 20:00","GPS",NA,943441,13230971.5866068,4510055.74372794
118.84408,37.49264,"2021/4/8 0:00","GPS",NA,940875,13229662.4693951,4507998.72448295
118.18248,39.14865,"2021/6/30 22:01","GPS",NA,1182049,13156013.4942862,4742986.83231403
118.368,39.10978,"2021/6/27 20:00","GPS",NA,1176925,13176665.4862182,4737408.83711099
118.45007,39.11799,"2021/6/27 6:01","GPS",NA,1176929,13185801.4768276,4738586.7474375
118.42562,39.11336,"2021/6/27 2:00","GPS",NA,1176928,13183079.7152777,4737922.45226762
118.37149,39.10949,"2021/6/27 0:00","GPS",NA,1176926,13177053.9912411,4737367.23255629
118.23576,39.06628,"2021/6/16 2:00","GPS",NA,1169221,13161944.5967557,4731170.06560004
118.23562,39.06885,"2021/6/15 18:06","GPS",NA,1171787,13161929.012027,4731538.54817722
118.24115,39.06117,"2021/6/15 14:01","GPS",NA,1169222,13162544.6088111,4730437.44165376
118.28,39.07212,"2021/6/14 12:01","GPS",NA,1171789,13166869.3710284,4732007.41505597
118.28382,39.07483,"2021/6/14 8:00","GPS",NA,1171790,13167294.6114832,4732396.00315256
