"Lat","Lon","source","X","Y"
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
26.65653,119.54208,"zggn",13307363.4739688,3080624.85847042
35.57313,119.59953,"zggn",13313758.7787148,4242042.57656383
30.58459,104.08623,"zggn",11586826.1221916,3578916.94855505
22.50493,113.95817,"zggn",12685765.4561333,2572257.08010885
23.08085,113.4624,"zggn",12630576.5921827,2641799.01007259
22.52806,114.00385,"zggn",12690850.5304727,2575044.37752419
24.66545,118.45731,"zggn",13186607.429941,2834708.30279282
26.44979,119.62489,"zggn",13316581.8410014,3054896.85843225
24.7899,118.68084,"zggn",13211490.675718,2849960.55362795
24.7899,118.68084,"zggn",13211490.675718,2849960.55362795
30.17155,113.80021,"zggn",12668181.4293676,3525620.11085541
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
22.53426,114.01529,"zggn",12692124.0254474,2575791.59231977
35.94093,120.20563,"zggn",13381229.5220846,4292496.47226086
28.75362,116.32213,"zggn",12948920.279589,3344324.59937154
29.1898,116.02342,"zggn",12915668.0344941,3399825.57256181
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
31.16041,104.41362,"zggn",11623271.0102824,3653599.00459134
31.59207,117.53735,"zggn",13084197.9511908,3709881.78650369
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
31.59207,117.53735,"zggn",13084197.9511908,3709881.78650369
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
29.18765,116.43563,"zggn",12961555.041794,3399551.42370392
22.52866,114.00988,"zggn",12691521.7870022,2575116.68716751
22.52866,114.00988,"zggn",12691521.7870022,2575116.68716751
29.88465,115.38393,"zggn",12844480.3333267,3488731.27698788
22.83279,115.25609,"zggn",12830249.2496237,2611809.90235837
24.55872,118.27623,"zggn",13166449.6965481,2821639.88273511
22.52866,114.00988,"zggn",12691521.7870022,2575116.68716751
22.90312,115.22674,"zggn",12826982.0225689,2620306.83730088
22.14761,113.085,"zggn",12588564.6163573,2529256.82706154
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
22.52747,114.00233,"zggn",12690681.3248467,2574973.27334786
36.17578,120.13656,"zggn",13373540.6848556,4324835.4634745
31.38285,104.81714,"zggn",11668190.6512073,3682569.95583421
31.38286,104.81742,"zggn",11668221.8206647,3682571.25978901
31.38833,104.81884,"zggn",11668379.8943416,3683284.54387653
26.03431,119.61996,"zggn",13316033.0359118,3003331.00479967
22.60629,113.65204,"zggn",12651687.2204168,2584475.0030241
21.68763,108.85548,"zggn",12117736.6036574,2474062.54616448
31.38311,104.81758,"zggn",11668239.6317832,3682603.85870429
22.14501,113.08315,"zggn",12588358.6752994,2528944.34260752
22.5346,113.99926,"zggn",12690339.57401,2575832.56958525
22.60629,113.65204,"zggn",12651687.2204168,2584475.0030241
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
24.81725,118.65274,"zggn",13208362.5980267,2853314.54287394
22.60624,113.65281,"zggn",12651772.9364247,2584468.97381448
22.60629,113.65204,"zggn",12651687.2204168,2584475.0030241
36.17578,120.13656,"zggn",13373540.6848556,4324835.4634745
28.9513,116.36497,"zggn",12953689.2065746,3369449.07514322
30.10802,114.46884,"zggn",12742612.9804967,3517442.377806
31.13852,104.41152,"zggn",11623037.2393517,3650751.69870854
22.52747,114.00233,"zggn",12690681.3248467,2574973.27334786
22.52942,114.00574,"zggn",12691060.9243103,2575208.27983329
31.66085,117.64613,"zggn",13096307.2853993,3718873.7906505
31.62645,117.46283,"zggn",13075902.4227369,3714375.65027044
30.29411,113.25584,"zggn",12607582.4381645,3541411.23977185
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.49806,114.04584,"zggn",12695524.8358912,2571429.29559655
23.08672,113.47086,"zggn",12631518.3550748,2642509.32894455
29.68973,113.55077,"zggn",12640413.8955841,3463729.54992274
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
23.08672,113.47086,"zggn",12631518.3550748,2642509.32894455
28.95055,116.3658,"zggn",12953781.6017519,3369353.6622136
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
28.92625,116.34907,"zggn",12951919.2266709,3366262.65697404
27.91399,120.87734,"zggn",13456003.9372454,3238134.21776292
30.30375,113.86649,"zggn",12675559.6852174,3542654.1326524
30.66985,114.72697,"zggn",12771347.8806552,3589946.6989615
26.02948,119.64315,"zggn",13318614.5349032,3002732.62606292
26.03431,119.61996,"zggn",13316033.0359118,3003331.00479967
34.84238,119.20699,"zggn",13270061.4257989,4142481.79245792
24.78318,118.68046,"zggn",13211448.3743115,2849136.57878384
26.02948,119.64315,"zggn",13318614.5349032,3002732.62606292
22.5272,114.00404,"zggn",12690871.681176,2574940.73424982
34.83367,119.20737,"zggn",13270103.7272054,4141300.47192918
29.18765,116.43563,"zggn",12961555.041794,3399551.42370392
30.99544,104.28229,"zggn",11608651.4215565,3632156.95474024
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
22.5272,114.00404,"zggn",12690871.681176,2574940.73424982
30.65311,114.67595,"zggn",12765668.3602349,3587780.34411951
34.83367,119.20737,"zggn",13270103.7272054,4141300.47192918
30.99544,104.28229,"zggn",11608651.4215565,3632156.95474024
34.83367,119.20737,"zggn",13270103.7272054,4141300.47192918
37.41729,118.7813,"zggn",13222673.8317631,4497432.34607098
26.02948,119.64315,"zggn",13318614.5349032,3002732.62606292
22.61084,113.64927,"zggn",12651378.8654273,2585023.67027131
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
22.13872,113.07784,"zggn",12587767.5688033,2528188.3944678
24.48159,117.92693,"zggn",13127565.798414,2812202.72236935
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
