Lat,Lon,source
22.51533,114.04705,zggn
26.65653,119.54208,zggn
35.57313,119.59953,zggn
30.58459,104.08623,zggn
22.50493,113.95817,zggn
23.08085,113.4624,zggn
22.52806,114.00385,zggn
24.66545,118.45731,zggn
26.44979,119.62489,zggn
24.7899,118.68084,zggn
24.7899,118.68084,zggn
30.17155,113.80021,zggn
22.51533,114.04705,zggn
22.53426,114.01529,zggn
35.94093,120.20563,zggn
28.75362,116.32213,zggn
29.1898,116.02342,zggn
22.51533,114.04705,zggn
22.6159,113.64651,zggn
25.89344,119.58859,zggn
31.16041,104.41362,zggn
31.59207,117.53735,zggn
22.51533,114.04705,zggn
31.59207,117.53735,zggn
22.51533,114.04705,zggn
29.18765,116.43563,zggn
22.52866,114.00988,zggn
22.52866,114.00988,zggn
29.88465,115.38393,zggn
22.83279,115.25609,zggn
24.55872,118.27623,zggn
22.52866,114.00988,zggn
22.90312,115.22674,zggn
22.14761,113.085,zggn
22.51533,114.04705,zggn
22.52747,114.00233,zggn
36.17578,120.13656,zggn
31.38285,104.81714,zggn
31.38286,104.81742,zggn
31.38833,104.81884,zggn
26.03431,119.61996,zggn
22.60629,113.65204,zggn
21.68763,108.85548,zggn
31.38311,104.81758,zggn
22.14501,113.08315,zggn
22.5346,113.99926,zggn
22.60629,113.65204,zggn
22.6159,113.64651,zggn
24.81725,118.65274,zggn
22.60624,113.65281,zggn
22.60629,113.65204,zggn
36.17578,120.13656,zggn
28.9513,116.36497,zggn
30.10802,114.46884,zggn
31.13852,104.41152,zggn
22.52747,114.00233,zggn
22.52942,114.00574,zggn
31.66085,117.64613,zggn
31.62645,117.46283,zggn
30.29411,113.25584,zggn
22.52482,113.96969,zggn
22.49806,114.04584,zggn
23.08672,113.47086,zggn
29.68973,113.55077,zggn
22.52482,113.96969,zggn
23.08672,113.47086,zggn
28.95055,116.3658,zggn
29.4421,112.99295,zggn
28.92625,116.34907,zggn
27.91399,120.87734,zggn
30.30375,113.86649,zggn
30.66985,114.72697,zggn
26.02948,119.64315,zggn
26.03431,119.61996,zggn
34.84238,119.20699,zggn
24.78318,118.68046,zggn
26.02948,119.64315,zggn
22.5272,114.00404,zggn
34.83367,119.20737,zggn
29.18765,116.43563,zggn
30.99544,104.28229,zggn
25.89344,119.58859,zggn
22.5272,114.00404,zggn
30.65311,114.67595,zggn
34.83367,119.20737,zggn
30.99544,104.28229,zggn
34.83367,119.20737,zggn
37.41729,118.7813,zggn
26.02948,119.64315,zggn
22.61084,113.64927,zggn
22.51533,114.04705,zggn
22.6159,113.64651,zggn
22.13872,113.07784,zggn
24.48159,117.92693,zggn
32.76584,120.96967,zggn
30.30933,113.85777,zggn
30.54053,114.0929,zggn
30.30933,113.85777,zggn
22.6159,113.64651,zggn
22.61637,113.6462,zggn
29.4421,112.99295,zggn
27.60993,120.64906,zggn
34.42668,109.22431,zggn
22.6159,113.64651,zggn
25.89344,119.58859,zggn
31.16472,104.41558,zggn
29.4421,112.99295,zggn
25.52831,119.45587,zggn
22.51277,114.04573,zggn
22.60629,113.65204,zggn
23.15661,113.29138,zggn
29.4421,112.99295,zggn
31.3694,104.81913,zggn
22.52747,114.00233,zggn
29.69585,115.80827,zggn
22.52942,114.00574,zggn
31.39448,104.82014,zggn
31.38833,104.81884,zggn
28.75362,116.32213,zggn
28.75362,116.32213,zggn
30.24929,114.66081,zggn
30.99544,104.28229,zggn
22.52489,113.9695,zggn
29.19196,116.0498,zggn
29.49777,112.81883,zggn
29.132,115.96338,zggn
29.83656,113.36817,zggn
22.52482,113.96969,zggn
23.20884,120.12223,zggn
29.11216,115.97578,zggn
22.52482,113.96969,zggn
22.52806,114.00385,zggn
22.53426,114.01529,zggn
30.58459,104.08623,zggn
25.89344,119.58859,zggn
29.136,116.68641,zggn
30.2624,114.33899,zggn
25.89344,119.58859,zggn
22.52489,113.9695,zggn
26.43804,119.62213,zggn
22.52747,114.00233,zggn
30.1766,114.37572,zggn
22.6159,113.64651,zggn
22.47003,113.55666,zggn
22.47003,113.55666,zggn
30.88746,121.98088,zggn
22.8636,115.53596,zggn
22.8636,115.53596,zggn
26.86602,120.1523,zggn
26.86602,120.1523,zggn
22.50205,114.11679,zggn
22.52482,113.96969,zggn
22.5049,113.96052,zggn
34.83367,119.20737,zggn
29.50492,112.81262,zggn
29.14131,115.74248,zggn
29.20518,116.0357,zggn
29.50492,112.81262,zggn
29.50492,112.81262,zggn
