"Lat","Lon","source","grid_id","X","Y"
22.51533,114.04705,"zggn",9463,12695659.532475,2573510.28193257
26.65653,119.54208,"zggn",92734,13307363.4739688,3080624.85847042
35.57313,119.59953,"zggn",282922,13313758.7787148,4242042.57656383
22.50493,113.95817,"zggn",9459,12685765.4561333,2572257.08010885
23.08085,113.4624,"zggn",20480,12630576.5921827,2641799.01007259
22.52806,114.00385,"zggn",9870,12690850.5304727,2575044.37752419
24.66545,118.45731,"zggn",52604,13186607.429941,2834708.30279282
26.44979,119.62489,"zggn",88648,13316581.8410014,3054896.85843225
24.7899,118.68084,"zggn",55068,13211490.675718,2849960.55362795
30.17155,113.80021,"zggn",165281,12668181.4293676,3525620.11085541
28.75362,116.32213,"zggn",135945,12948920.279589,3344324.59937154
29.1898,116.02342,"zggn",144930,12915668.0344941,3399825.57256181
22.6159,113.64651,"zggn",11490,12651071.6236327,2585633.85779679
25.89344,119.58859,"zggn",77194,13312540.9434856,2985889.00590813
31.59207,117.53735,"zggn",195713,13084197.9511908,3709881.78650369
29.18765,116.43563,"zggn",144948,12961555.041794,3399551.42370392
29.88465,115.38393,"zggn",159216,12844480.3333267,3488731.27698788
22.83279,115.25609,"zggn",15652,12830249.2496237,2611809.90235837
24.55872,118.27623,"zggn",50142,13166449.6965481,2821639.88273511
22.90312,115.22674,"zggn",17286,12826982.0225689,2620306.83730088
22.14761,113.085,"zggn",2058,12588564.6163573,2529256.82706154
26.03431,119.61996,"zggn",80059,13316033.0359118,3003331.00479967
24.81725,118.65274,"zggn",55476,13208362.5980267,2853314.54287394
28.9513,116.36497,"zggn",140037,12953689.2065746,3369449.07514322
30.10802,114.46884,"zggn",164083,12742612.9804967,3517442.377806
31.66085,117.64613,"zggn",196945,13096307.2853993,3718873.7906505
31.62645,117.46283,"zggn",196528,13075902.4227369,3714375.65027044
30.29411,113.25584,"zggn",167710,12607582.4381645,3541411.23977185
22.52482,113.96969,"zggn",9868,12687047.8566672,2574653.91087738
22.49806,114.04584,"zggn",9054,12695524.8358912,2571429.29559655
23.08672,113.47086,"zggn",20889,12631518.3550748,2642509.32894455
29.68973,113.55077,"zggn",155045,12640413.8955841,3463729.54992274
29.4421,112.99295,"zggn",150112,12578317.6572298,3432036.69932203
28.92625,116.34907,"zggn",139218,12951919.2266709,3366262.65697404
27.91399,120.87734,"zggn",118561,13456003.9372454,3238134.21776292
30.30375,113.86649,"zggn",168147,12675559.6852174,3542654.1326524
30.66985,114.72697,"zggn",175956,12771347.8806552,3589946.6989615
26.02948,119.64315,"zggn",80060,13318614.5349032,3002732.62606292
34.84238,119.20699,"zggn",266544,13270061.4257989,4142481.79245792
24.78318,118.68046,"zggn",54659,13211448.3743115,2849136.57878384
34.83367,119.20737,"zggn",266135,13270103.7272054,4141300.47192918
30.65311,114.67595,"zggn",175545,12765668.3602349,3587780.34411951
24.48159,117.92693,"zggn",48899,13127565.798414,2812202.72236935
32.76584,120.96967,"zggn",220815,13466282.0658303,3864264.22561872
30.30933,113.85777,"zggn",168146,12674588.9792577,3543373.6223433
30.54053,114.0929,"zggn",173065,12700763.5311279,3573220.88265059
27.60993,120.64906,"zggn",112416,13430591.9238871,3199883.30540391
25.52831,119.45587,"zggn",69827,13297766.6206675,2940776.43578127
23.15661,113.29138,"zggn",22108,12611538.7328673,2650968.98710846
29.69585,115.80827,"zggn",155554,12891717.6460499,3464513.80237267
30.24929,114.66081,"zggn",166955,12763982.9831443,3535634.16488791
29.19196,116.0498,"zggn",144931,12918604.6426612,3400101.00231786
29.49777,112.81883,"zggn",150922,12558934.7074929,3439154.84431625
29.132,115.96338,"zggn",143700,12908984.4122669,3392457.42868989
29.83656,113.36817,"zggn",158308,12620086.9565653,3482558.40794006
23.20884,120.12223,"zggn",23639,13371945.4765525,2657293.91668879
29.11216,115.97578,"zggn",143292,12910364.7739527,3389929.24955077
29.136,116.68641,"zggn",143732,12989471.7436951,3392967.20131593
30.2624,114.33899,"zggn",167350,12728158.1446172,3537323.70572961
26.43804,119.62213,"zggn",88239,13316274.5992068,3053436.00649901
30.1766,114.37572,"zggn",165306,12732246.909514,3526270.38491131
22.47003,113.55666,"zggn",8623,12641069.5673849,2568052.3124377
